oldName,newName
Y2020-007317,SPY00001C-A-2021
Y2020-003610,SPY00001I-A-2021
Y2020-002980,SPY00001M-A-2021
Y2020-002365,SPY00002C-A-2021
Y2020-003618,SPY00002I-A-2021
Y2020-000192,SPY00002M-A-2021
Y2020-002295,SPY00003C-A-2021
null-1,null
Y2020-002977,SPY00004M-A-2021
Y2020-008939,SPY00009M-A-2021
Y2020-002836,SPY00010M-A-2021
Y2020-002577,SPY00011H-A-2021
Y2020-002715,SPY00012H-A-2021
Y2020-002853,SPY00012I-A-2021
Y2020-007204,SPY00015H-A-2021
Y2020-005380,SPY00016I-A-2021
Y2020-002400,SPY00016M-A-2021
Y2020-006209,SPY00017C-A-2021
Y2020-002580,SPY00017H-A-2021
Y2020-006210,SPY00018C-A-2021
Y2020-005621,SPY00018I-A-2021
Y2020-011430,SPY00019H-A-2021
Y2020-008513,SPY00019I-A-2021
Y2020-008932,SPY00020C-A-2021
Y2020-002513,SPY00020H-A-2021
Y2020-008511,SPY00020I-A-2021
Y2020-008929,SPY00021C-A-2021
Y2020-002960,SPY00021H-A-2021
Y2020-011980,SPY00023C-A-2021
Y2020-008164,SPY00023I-A-2021
Y2020-011986,SPY00024C-A-2021
Y2020-007749,SPY00025H-A-2021
Y2020-008930,SPY00025I-A-2021
Y2020-008172,SPY00026M-A-2021
Y2020-012726,SPY00028I-A-2021
Y2020-013114,SPY00030I-A-2021
Y2020-005622,SPY00032H-A-2021
Y2020-002511,SPY00033M-A-2021
Y2020-007056,SPY00035H-A-2021
Y2020-008149,SPY00036H-A-2021
Y2020-008510,SPY00038H-A-2021
Y2020-002698,SPY00040H-A-2021
Y2020-013347,SPY00041H-A-2021
Y2020-002737,SPY00043H-A-2021
Y2020-002779,SPY00045H-A-2021
Y2020-008931,SPY00046H-A-2021
Y2020-002594,SPY00047H-A-2021
Y2020-011985,SPY00050H-A-2021
Y2020-013342,SPY00051H-A-2021
Y2020-013456,SPY00053H-A-2021
Y2020-006222,SPY00068M-A-2021
Y2020-006223,SPY00069M-A-2021
Y2020-006224,SPY00070M-A-2021
Y2020-007064,SPY00072M-A-2021
Y2020-002699,SPY00074M-A-2021
Y2020-002781,SPY00078M-A-2021
Y2020-002697,SPY00080M-A-2021
Y2020-008509,SPY00083M-A-2021
Y2020-008555,SPY00084M-A-2021
Y2020-008698,SPY00086M-A-2021
Y2020-007891,SPY00107M-A-2021
Y2020-003835,SPY00108M-A-2021
Y2020-004945,SPY00109M-A-2021
Y2020-012571,SPY00112M-A-2021
Y2020-007144,SPY00115M-A-2021